week,month,service,available_beds,patients_request,patients_admitted,patients_refused,patient_satisfaction,staff_morale,event,occupancy_rate,refusal_rate,demand_pressure,event_donation,event_flu,event_none,event_strike
1,1,emergency,32,76,32,44,67,70,none,1.0,0.579,2.375,False,False,True,False
1,1,surgery,45,130,45,85,83,78,flu,1.0,0.654,2.889,False,True,False,False
1,1,general_medicine,37,201,37,164,97,43,flu,1.0,0.816,5.432,False,True,False,False
1,1,ICU,22,31,22,9,84,91,flu,1.0,0.29,1.409,False,True,False,False
2,1,emergency,28,169,28,141,75,64,none,1.0,0.834,6.036,False,False,True,False
2,1,surgery,40,26,26,0,96,56,none,0.65,0.0,0.65,False,False,True,False
2,1,general_medicine,43,183,43,140,73,93,flu,1.0,0.765,4.256,False,True,False,False
2,1,ICU,16,7,7,0,79,85,donation,0.438,0.0,0.438,True,False,False,False
3,1,emergency,32,177,32,145,73,58,flu,1.0,0.819,5.531,False,True,False,False
3,1,surgery,27,66,27,39,63,72,flu,1.0,0.591,2.444,False,True,False,False
3,1,general_medicine,37,58,37,21,95,63,none,1.0,0.362,1.568,False,False,True,False
3,1,ICU,20,21,20,1,82,89,none,1.0,0.048,1.05,False,False,True,False
4,1,emergency,32,157,32,125,83,75,none,1.0,0.796,4.906,False,False,True,False
4,1,surgery,56,57,56,1,74,94,none,1.0,0.018,1.018,False,False,True,False
4,1,general_medicine,43,152,43,109,67,66,flu,1.0,0.717,3.535,False,True,False,False
4,1,ICU,20,21,20,1,64,85,flu,1.0,0.048,1.05,False,True,False,False
5,2,emergency,25,388,25,363,93,72,flu,1.0,0.936,15.52,False,True,False,False
5,2,surgery,26,70,26,44,81,83,donation,1.0,0.629,2.692,True,False,False,False
5,2,general_medicine,40,103,40,63,73,52,none,1.0,0.612,2.575,False,False,True,False
5,2,ICU,22,13,13,0,73,88,none,0.591,0.0,0.591,False,False,True,False
6,2,emergency,34,198,34,164,72,76,flu,1.0,0.828,5.824,False,True,False,False
